Town,Trump,Clinton,tot,pctTrump,pctClinton
Baldwin,560,271,905,0.61878453,0.299447514
Bridgton,1474,1224,2925,0.503931624,0.418461538
Brunswick,3646,7991,12452,0.292804369,0.641744298
Cape Elizabeth,1593,4480,6372,0.25,0.703075957
Casco,1117,819,2086,0.535474593,0.39261745
Chebeague Island,66,232,326,0.202453988,0.711656442
Cumberland,1755,3184,5277,0.332575327,0.603373129
Falmouth,2633,4877,7922,0.332365564,0.615627367
Freeport,1644,3442,5437,0.302372632,0.633069708
Frye Island,26,43,77,0.337662338,0.558441558
Gorham,3945,4995,9587,0.411494732,0.521018045
Gray,2397,2021,4768,0.50272651,0.42386745
Harpswell,1316,1881,3376,0.389810427,0.557168246
Harrison,760,567,1445,0.525951557,0.392387543
Long Island,52,109,170,0.305882353,0.641176471
Naples,1277,826,2260,0.565044248,0.365486726
New Gloucester,1657,1350,3235,0.512210201,0.417310665
North Yarmouth,922,1493,2568,0.359034268,0.581386293
Portland,6786,28505,37512,0.180902111,0.759890168
Pownal,421,566,1063,0.396048918,0.532455315
Raymond,1381,1263,2811,0.49128424,0.449306297
Scarborough,4051,5193,9849,0.411310793,0.527261651
Sebago,600,421,1105,0.542986425,0.380995475
South Portland,3945,9901,14661,0.269081236,0.675329104
Standish,2873,2144,5377,0.534312814,0.398735354
Westbrook,3572,5431,9637,0.370654768,0.563557124
Windham,4859,4305,9850,0.493299492,0.437055838
Yarmouth,1502,3701,5510,0.272595281,0.67168784
Acton,820,542,1453,0.564349621,0.373021335
Alfred,885,812,1813,0.488141202,0.447876448
Arundel,1198,1064,2446,0.489779231,0.434995912
Berwick,2086,1539,3890,0.536246787,0.39562982
Biddeford,3729,5605,10046,0.371192514,0.557933506
Buxton,2538,1895,4752,0.534090909,0.398779461
Cornish,397,332,811,0.489519112,0.409371147
Dayton,668,467,1230,0.543089431,0.379674797
Eliot,1704,2257,4219,0.403887177,0.534960891
Hollis,1329,1015,2556,0.519953052,0.397104851
Kennebunk,2648,4224,7342,0.360664669,0.575320076
Kennebunkport,910,1356,2394,0.380116959,0.56641604
Kittery,1746,3471,5563,0.313859428,0.623943915
Lebanon,1945,939,3106,0.626207341,0.302318094
Limerick,843,642,1608,0.524253731,0.399253731
Limington,1195,697,2031,0.588380108,0.343180699
Lyman,1300,1038,2532,0.51342812,0.409952607
Newfield,501,285,842,0.595011876,0.33847981
North Berwick,1419,1165,2803,0.506243311,0.415626115
Ogunquit,286,564,884,0.323529412,0.63800905
Old Orchard Beach,2147,2978,5434,0.395104895,0.548030916
Parsonsfield,552,367,1000,0.552,0.367
Saco,4067,5904,10647,0.381985536,0.554522401
Sanford,4733,4438,9953,0.475535015,0.44589571
Shapleigh,874,534,1532,0.570496084,0.348563969
South Berwick,1616,2227,4136,0.390715667,0.53844294
Waterboro,2189,1373,3875,0.564903226,0.354322581
Wells,2803,3269,6492,0.431762169,0.503542822
York,3260,4929,8672,0.375922509,0.568380996
