Town,Total
Baldwin,1418
Bridgton,5320
Brunswick,20378
Cape Elizabeth,9157
Casco,3822
Chebeague Island,470
Cumberland,7454
Falmouth,11587
Freeport,8127
Frye Island,50
Gorham,16834
Gray,7928
Harpswell,4815
Harrison,2780
Long Island,229
Naples,3928
New Gloucester,5619
North Yarmouth,3661
Portland,66490
Pownal,1583
Raymond,4482
Scarborough,19348
Sebago,1651
South Portland,25304
Standish,10004
Westbrook,17754
Windham,17459
Yarmouth,8467w
Acton,2522
Alfred,3054
Arundel,4127
Berwick,7456
Biddeford,21289
Buxton,8106
Cornish,1314
Dayton,1973
Eliot,6278
Hollis,4377
Kennebunk,11051
Kennebunkport,3535
Kittery,9592
Lebanon,6094
Limerick,2916
Limington,3734
Lyman,4375
Newfield,1455
North Berwick,4613
Ogunquit,1337
Old Orchard Beach,8697
Parsonsfield,1716
Saco,18874
Sanford,20864
Shapleigh,2679
South Berwick,7312
Waterboro,7756
Wells,9869
York,12717
