baldwin,0
bridgton,13
brunswick,51
cape elizabeth,36
casco,12
chebeague island,0
cumberland,26
falmouth,37
freeport,53
frye island,0
gorham,29
gray,20
harpswell,12
harrison,0
long island,0
naples,12
new gloucester,0
north yarmoutn,13
pownal,0
raymond,0
scarborough,58
sebago,0
standish,9
windham,40
yarmouth,38
portland,470
south portland,84
westbrook,22
acton,2
alfred,12
arundel,9
berwick,12
biddeford,83
buxton,18
cornish,6
dayton,0
eliot,0
hollis,12
kennebunk,33
kennebunkport,11
kittery,16
lebanon,15
limerick,10
limington,6
lyman,8
newfield,0
n. berwick,9
ogunquit,15
old orchard beach,26
parsonfield,0
saco,49
sanford,52
shapleigh,7
s. berwick,0
waterboro,10
wells,13
york,25
