neighborhood,popk,articlesper10K,articles,pct.pop,pct.articles,pages,
CROWN HEIGHTS,293,30,891,7.4,5.6,81,
CYPRESS HILLS,192,3,55,4.9,0.3,5,
GRAVESEND,172,3,55,4.4,0.3,5,
MARINE PARK,170,4,71,4.3,0.4,8,
LEFFERTS GARDENS,168,41,693,4.3,4.4,63,
SHEEPSHEAD BAY,162,7,111,4.1,0.7,11,
BEDFORD STUYVESANT,158,46,726,4.0,4.6,66,
FLATLANDS,158,3,44,4.0,0.3,4,
KENSINGTON,156,5,77,4.0,0.5,7,
BOROUGH PARK,154,8,127,3.9,0.8,12,
BENSONHURST,151,9,132,3.8,0.8,12,
MIDWOOD,150,10,143,3.8,0.9,13,
BUSHWICK,129,78,1009,3.3,6.4,92,
WILLIAMSBURG,127,102,1298,3.2,8.2,118,
SUNSET PARK,126,21,269,3.2,1.7,25,
FLATBUSH,111,47,517,2.8,3.3,47,
EAST NEW YORK,92,39,357,2.3,2.2,33,
CLINTON HILL,90,29,258,2.3,1.6,24,
BOERUM HILL,90,15,137,2.3,0.9,13,
MILL BASIN,88,6,56,2.2,0.4,6,
BERGEN BEACH,88,1,11,2.2,0.1,1,
COBBLE HILL,86,82,708,2.2,4.5,65,
PROSPECT HEIGHTS,84,91,763,2.1,4.8,70,
CANARSIE,84,16,132,2.1,0.8,12,
GERRITSEN BEACH,82,3,22,2.1,0.1,2,
BAY RIDGE,79,26,209,2.0,1.3,26,
PARK SLOPE,65,119,776,1.6,4.9,71,
BROWNSVILLE,58,55,319,1.5,2.0,29,
DUMBO,52,175,912,1.3,5.7,83,
PROSPECT PARK,46,69,319,1.2,2.0,29,
DYKER HEIGHTS,42,5,22,1.1,0.1,2,
BRIGHTON BEACH,36,28,99,0.9,0.6,9,
GREENPOINT,35,289,1013,0.9,6.4,93,
RED HOOK,34,232,789,0.9,5.0,72,
CARROLL GARDENS,34,210,715,0.9,4.5,65,
BATH BEACH,30,6,17,0.8,0.1,2,
CONEY ISLAND,25,123,308,0.6,1.9,28,
BROOKLYN HEIGHTS,20,156,312,0.5,2.0,29,
FORT GREENE,16,605,968,0.4,6.1,88,
DOWNTOWN BROOKLYN,7,639,447,0.2,2.8,41,
