"neighborhood","url","ds","area","title.short"
"bath+beach","www.dnainfo.com/new-york/20170209/bath-beach/nypd-police-civilian-robert-donofrio-killed-shot-brooklyn","20170209","bath-beach","nypd police civilian robert donofrio killed shot brooklyn"
"bath+beach","www.dnainfo.com/new-york/20161230/yorkville/upper-east-side-yorkville-hottest-real-estate-growth-second-avenue","20161230","yorkville","upper east side yorkville hottest real estate growth second avenue"
"bath+beach","www.dnainfo.com/new-york/20161228/prospect-lefferts-gardens/prospect-lefferts-flatbush-among-hottest-neighborhoods-report-says","20161228","prospect-lefferts-gardens","prospect lefferts flatbush among hottest neighborhoods report says"
"bath+beach","www.dnainfo.com/new-york/20161207/bay-ridge/autism-aspergers-syndrome-vincent-gentile-michael-bistreich","20161207","bay-ridge","autism aspergers syndrome vincent gentile michael bistreich"
"bath+beach","www.dnainfo.com/new-york/20160914/downtown-brooklyn/3-suspects-curse-lifting-scam-indicted-brooklyn-da-says","20160914","downtown-brooklyn","3 suspects curse lifting scam indicted brooklyn da says"
"bath+beach","www.dnainfo.com/new-york/20160912/bath-beach/you-dont-belong-here-anti-muslim-attacker-screamed-at-women-da","20160912","bath-beach","you dont belong here anti muslim attacker screamed at women da"
"bath+beach","www.dnainfo.com/new-york/20160829/rochdale-village/city-spray-zika-prevention-pesticide-queens-staten-island","20160829","rochdale-village","city spray zika prevention pesticide queens staten island"
"bath+beach","www.dnainfo.com/new-york/20160706/lower-east-side/women-promising-lift-curse-scammed-victims-out-of-nearly-500k-da","20160706","lower-east-side","women promising lift curse scammed victims out of nearly 500k da"
"bath+beach","www.dnainfo.com/new-york/20160226/washington-heights/councilmembers-push-bills-limit-hookah-smoking-city","20160226","washington-heights","councilmembers push bills limit hookah smoking city"
"bath+beach","www.dnainfo.com/new-york/20160217/financial-district/parolee-custody-for-punching-tourist-near-staten-island-ferry-sources","20160217","financial-district","parolee custody for punching tourist near staten island ferry sources"
"bath+beach","www.dnainfo.com/new-york/20160209/upper-west-side/moms-push-launch-russian-dual-language-program-on-upper-west-side","20160209","upper-west-side","moms push launch russian dual language program on upper west side"
"bath+beach","www.dnainfo.com/new-york/20121029/bath-beach/man-dies-after-apparent-shooting-on-bath-avenue-officials-say","20121029","bath-beach","man dies after apparent shooting on bath avenue officials say"
"bath+beach","www.dnainfo.com/new-york/20121026/cobble-hill/brooklynites-pass-hat-but-forgo-ballet-box-new-report-shows","20121026","cobble-hill","brooklynites pass hat but forgo ballet box new report shows"
"bath+beach","www.dnainfo.com/new-york/20120626/bath-beach/belt-parkway-chaos-as-wrong-way-driver-causes-3-car-crash","20120626","bath-beach","belt parkway chaos as wrong way driver causes 3 car crash"
"bath+beach","www.dnainfo.com/new-york/20120604/bath-beach/worker-falls-down-elevator-shaft-bath-beach-building","20120604","bath-beach","worker falls down elevator shaft bath beach building"
"bath+beach","www.dnainfo.com/new-york/20120507/sheepshead-bay/driver-deadly-brooklyn-high-speed-crash-charged-with-homicide","20120507","sheepshead-bay","driver deadly brooklyn high speed crash charged with homicide"
"bath+beach","www.dnainfo.com/new-york/20111218/downtown/stuyvesant-student-terence-tsao-killed-by-alleged-drunk-driver-bk","20111218","downtown","stuyvesant student terence tsao killed by alleged drunk driver bk"
"bay+ridge","www.dnainfo.com/new-york/20170220/bay-ridge/robber-trio-driver-nypd","20170220","bay-ridge","robber trio driver nypd"
"bay+ridge","www.dnainfo.com/new-york/20170210/gravesend/jaden-jordan-murder-charge-district-attorney","20170210","gravesend","jaden jordan murder charge district attorney"
"bay+ridge","www.dnainfo.com/new-york/20170209/bath-beach/nypd-police-civilian-robert-donofrio-killed-shot-brooklyn","20170209","bath-beach","nypd police civilian robert donofrio killed shot brooklyn"
"bay+ridge","www.dnainfo.com/new-york/20170202/gravesend/jaden-jordan-fatal-beating-death-homicide","20170202","gravesend","jaden jordan fatal beating death homicide"
"bay+ridge","www.dnainfo.com/new-york/20170131/gravesend/student-arrested-after-threatening-shoot-up-gravesend-school-nypd-says","20170131","gravesend","student arrested after threatening shoot up gravesend school nypd says"
"bay+ridge","www.dnainfo.com/new-york/20170126/gravesend/administration-for-childrens-services-jaden-jordan-systemic-problems-fatally-beaten","20170126","gravesend","administration for childrens services jaden jordan systemic problems fatally beaten"
"bay+ridge","www.dnainfo.com/new-york/20150518/carroll-gardens/7-things-know-about-sending-your-kid-gifted-talented-school","20150518","carroll-gardens","7 things know about sending your kid gifted talented school"
"bay+ridge","www.dnainfo.com/new-york/20170111/bay-ridge/r-train-subway-man-struck-86th-street-station","20170111","bay-ridge","r train subway man struck 86th street station"
"bay+ridge","www.dnainfo.com/new-york/20170105/midtown/cellphone-service-signal-subways","20170105","midtown","cellphone service signal subways"
"bay+ridge","www.dnainfo.com/new-york/20161214/downtown-brooklyn/hate-crimes-brooklyn-stephen-levin","20161214","downtown-brooklyn","hate crimes brooklyn stephen levin"
"bay+ridge","www.dnainfo.com/new-york/20161209/gravesend/salvatore-lucchesse-indicted-beating-death-jaden-jordan","20161209","gravesend","salvatore lucchesse indicted beating death jaden jordan"
"bay+ridge","www.dnainfo.com/new-york/20161116/gravesend/wheelchair-theft-nypd-86th-street","20161116","gravesend","wheelchair theft nypd 86th street"
"bay+ridge","www.dnainfo.com/new-york/20161114/west-brighton/mario-casanova-express-bus-crash","20161114","west-brighton","mario casanova express bus crash"
"bay+ridge","www.dnainfo.com/new-york/20161112/gravesend/man-arrested-august-gravesend-park-shooting-police-say","20161112","gravesend","man arrested august gravesend park shooting police say"
"bay+ridge","www.dnainfo.com/new-york/20161106/upper-west-side/check-out-sights-signs-of-2016-nyc-marathon","20161106","upper-west-side","check out sights signs of 2016 nyc marathon"
"bay+ridge","www.dnainfo.com/new-york/20161104/midtown/new-york-city-marathon-street-closures","20161104","midtown","new york city marathon street closures"
"bay+ridge","www.dnainfo.com/new-york/20161103/bay-ridge/bay-ridge-donald-trump-flag-ew","20161103","bay-ridge","bay ridge donald trump flag ew"
"bay+ridge","www.dnainfo.com/new-york/20161103/dyker-heights/spumoni-gardens-murder-suspect-louis-barbati","20161103","dyker-heights","spumoni gardens murder suspect louis barbati"
"bay+ridge","www.dnainfo.com/new-york/20151021/midtown/where-watch-nyc-marathon-according-veteran-runners","20151021","midtown","where watch nyc marathon according veteran runners"
"bay+ridge","www.dnainfo.com/new-york/20161031/inwood/crime-victims-across-city-getting-devoted-advocate-under-nypd-pilot-program","20161031","inwood","crime victims across city getting devoted advocate under nypd pilot program"
"bay+ridge","www.dnainfo.com/new-york/20160808/greenwich-village/halloween-store-nyc","20160808","greenwich-village","halloween store nyc"
"bay+ridge","www.dnainfo.com/new-york/20161026/gravesend/2-men-charged-with-murder-for-double-shooting-gravesend-last-year-nypd","20161026","gravesend","2 men charged with murder for double shooting gravesend last year nypd"
