"neighborhood","url","ds","title.short"
"bathbeach","http://gothamist.com/2017/02/09/nypd_civilian_employee_fatally_shot.php","20170209","nypd civilian employee fatally shot"
"bathbeach","http://gothamist.com/2016/09/10/woman_allegedly_attacked_tried_to_r.php","20160910","woman allegedly attacked tried to r"
"bathbeach","http://gothamist.com/2016/08/23/intergender_wrestling_ny.php","20160823","intergender wrestling ny"
"bathbeach","http://gothamist.com/2015/11/19/speeding_hit_run_driver_runs_red_li.php","20151119","speeding hit run driver runs red li"
"bathbeach","http://gothamist.com/2014/10/28/brooklyn_foot_locker_employee_admit.php","20141028","brooklyn foot locker employee admit"
"bathbeach","http://gothamist.com/2012/05/22/brooklyn_teen_arrested_in_random_bl.php","20120522","brooklyn teen arrested in random bl"
"bathbeach","http://gothamist.com/2011/07/19/brooklyn_roommate_allegedly_goes_on.php","20110719","brooklyn roommate allegedly goes on"
"bathbeach","http://gothamist.com/2009/01/13/postal_worker_found_dead_in_dyker_h.php","20090113","postal worker found dead in dyker h"
"bathbeach","http://gothamist.com/2008/06/18/midweek_special_nyc_restaurant_revi_1.php","20080618","midweek special nyc restaurant revi 1"
"bathbeach","http://gothamist.com/2008/01/25/at_the_ethnic_m_8.php","20080125","at the ethnic m 8"
"bathbeach","http://gothamist.com/2007/11/07/brooklyn_tenant.php","20071107","brooklyn tenant"
"bathbeach","http://gothamist.com/2007/06/08/second_mobster.php","20070608","second mobster"
"bathbeach","http://gothamist.com/2007/01/11/extra_extra_392.php","20070111","extra extra 392"
"bathbeach","http://gothamist.com/2006/12/25/extra_extra_375.php","20061225","extra extra 375"
"bayridge","http://gothamist.com/2017/02/06/dan_donovan_bay_ridge_protest.php","20170206","dan donovan bay ridge protest"
"bayridge","http://gothamist.com/2017/01/23/home_invader_assaults_elderly_woman.php","20170123","home invader assaults elderly woman"
"bayridge","http://gothamist.com/2016/12/19/us_marshal_mcdonalds_mayhem.php","20161219","us marshal mcdonalds mayhem"
"bayridge","http://gothamist.com/2016/12/07/bay_ridge_councilman_lawsuit.php","20161207","bay ridge councilman lawsuit"
"bayridge","http://gothamist.com/2016/12/05/arrest_hate_crime_menacing_muslim_c.php","20161205","arrest hate crime menacing muslim c"
"bayridge","http://gothamist.com/2016/12/04/off-duty_muslim_nypd_officer_told_t.php","20161204","off-duty muslim nypd officer told t"
"bayridge","http://gothamist.com/2016/11/18/public_school_teachers_in_sunset.php","20161118","public school teachers in sunset"
"bayridge","http://gothamist.com/2016/10/12/bay_ridge_murder_owls_head.php","20161012","bay ridge murder owls head"
"bayridge","http://gothamist.com/2016/10/09/cops_looking_for_three_suspects_in.php","20161009","cops looking for three suspects in"
"bayridge","http://gothamist.com/2016/10/03/bay_ridge_murder.php","20161003","bay ridge murder"
"bayridge","http://gothamist.com/2016/09/29/owls_head_park_brooklyn.php","20160929","owls head park brooklyn"
"bayridge","http://gothamist.com/2016/08/10/trump_schnitzel_house.php","20160810","trump schnitzel house"
"bayridge","http://gothamist.com/2016/08/03/bay_ridge_trump_not_good.php","20160803","bay ridge trump not good"
"bayridge","http://gothamist.com/2016/03/02/brooklyn_cat_killer.php","20160302","brooklyn cat killer"
"bayridge","http://gothamist.com/2015/09/26/nypd_this_woman_beat_up_an_mta_work.php","20150926","nypd this woman beat up an mta work"
"bayridge","http://gothamist.com/2015/09/25/bon_chovie_bay_ridge.php","20150925","bon chovie bay ridge"
"bayridge","http://gothamist.com/2015/09/01/pipins_pub_saved.php","20150901","pipins pub saved"
"bayridge","http://gothamist.com/2015/08/22/boyfriend_charged_in_death_of_girlf.php","20150822","boyfriend charged in death of girlf"
