Town,MedianIncome
Baldwin,57019
Bridgton,45093
Brunswick,53737
Cape Elizabeth,101068
Casco,48947
Chebeague Island,55625
Cumberland,107853
Falmouth,98517
Freeport,73072
Frye Island,61563
Gorham,72851
Gray,62257
Harpswell,66290
Harrison,51648
Long Island,42188
Naples,56111
New Gloucester,62449
North Yarmouth,89181
Portland,46280
Pownal,66250
Raymond,72460
Scarborough,77361
Sebago,50321
South Portland,54598
Standish,61673
Westbrook,44588
Windham,68255
Yarmouth,74397
Acton,61071
Alfred,49156
Arundel,57644
Berwick,63544
Biddeford,46940
Buxton,64052
Cornish,38750
Dayton,78750
Eliot,80914
Hollis,61895
Kennebunk,70920
Kennebunkport,74167
Kittery,65317
Lebanon,60980
Limerick,59250
Limington,60301
Lyman,64295
Newfield,39643
North Berwick,71328
Ogunquit,67426
Old Orchard Beach,44205
Parsonsfield,38534
Saco,53715
Sanford,44040
Shapleigh,53580
South Berwick,69375
Waterboro,61752
Wells,57250
York,71645
